#	SYM	#
#1	NUM	#1
#2	SYM	#2
#aivot	NOUN	#aivot
#aivoviikko	NOUN	#aivo#viikko
#alkoholilaki	NOUN	#alkoholi#laki
#amistenpuolella	X	#amistenpuolella
#ammatillinenkoulutus	NOUN	#ammatillinen#koulutus
#blogit	NOUN	#blogi
#cmoref1	X	#cmoref1
#dog	X	#dog
#esimerkki	NOUN	#esimerkki
#esimiestyö	NOUN	#esi#mies#työ
#eslonecologne	X	#ESLOneCologne
#eurojatalous	X	#eurojatalous
#finanssiala	NOUN	#finanssi#ala
#finland100	X	#finland100
#finnishlapphund	X	#finnishlapphund
#forest	X	#forest
#hashtag	X	#hashtag
#hctps:n	PROPN	#HCTPS
#helsinki	PROPN	#Helsinki
#hyvinvointi	NOUN	#hyvin#vointi
#intiaanipäähinegate:n	NOUN	#intiaani#päähine#gate
#itsensäjohtaminen	X	#itsensäjohtaminen
#johtaminen	NOUN	#johtaminen
#jännä	ADJ	#jännä
#kansijaareena	X	#kansijaareena
#kiitollisuuskalenteri	NOUN	#kiitollisuus#kalenteri
#koira	NOUN	#koira
#kookoo	PROPN	#KooKoo
#kopla	PROPN	#Kopla
#kott2016	X	#kott2016
#koulu17	X	#koulu17
#koulutus	NOUN	#koulutus
#kuluttaminen	NOUN	#kuluttaminen
#kuopio	PROPN	#Kuopio
#kups	PROPN	#KuPS
#kuvakulma	NOUN	#kuva#kulma
#liiga	PROPN	#Liiga
#luonto	NOUN	#luonto
#luontokuva	NOUN	#luonto#kuva
#luontopolku	NOUN	#luonto#polku
#luontotwiitti	NOUN	#luonto#twiitti
#maksuliiketilastot	NOUN	#maksu#liike#tilasto
#media	NOUN	#media
#mekaanikko'ja	NOUN	mekaanikko
#metsä	NOUN	#metsä
#nature	X	#nature
#nevöföget	X	#nevöföget
#nuoret	NOUN	#nuori
#oikea	ADJ	#oikea
#oscarit	PROPN	#Oscar
#ostatyötäsuomeen	X	#ostatyötäsuomeen
#ostokset	NOUN	#ostos
#palaute	NOUN	#palaute
#palokunta	NOUN	#palo#kunta
#passion	X	#passion
#peliaddiktio	NOUN	#peli#addiktio
#peliriippuvuus	NOUN	#peli#riippuvuus
#pesis	NOUN	#pesis
#photography	X	#photography
#pielavesi	PROPN	#Pielavesi
#pitkospuut	NOUN	#pitkos#puut
#porraspäivät	NOUN	#porras#päivät
#pyöräily	NOUN	#pyöräily
#raskausaika	NOUN	#raskaus#aika
#rekry	NOUN	#rekry
#rekrykoulutus-hakuaikaa	NOUN	#RekryKoulutus#haku#aika
#ruokatauolla	NOUN	#ruoka#tauko
#sairaus	NOUN	#sairaus
#salibandy	NOUN	#sali#bandy
#sikiö	NOUN	#sikiö
#sorisiitä	X	#sorisiitä
#srvrakentaa	X	#SRVrakentaa
#stressi	NOUN	#stressi
#suomenlapinkoira	NOUN	#suomen#lapin#koira
#suomi100	PROPN	#suomi100
#suomiareena	PROPN	#suomi#areena
#susijengi	PROPN	#Susijengi
#tautiluokitus	NOUN	#tauti#luokitus
#testiin	NOUN	#testi
#tietovuoto	NOUN	#tieto#vuoto
#tutkimus	NOUN	#tutkimus
#tvof	PROPN	#tvof
#työ	NOUN	#työ
#työilmapiiri	NOUN	#työ#ilma#piiri
#työpaikat	NOUN	#työ#paikka
#unelmaduuni	NOUN	#unelma#duuni
#uusivaihtoehto	X	#uusivaihtoehto
#uutisvahti	NOUN	#uutis#vahti
#uv	NOUN	#uv
#vakuutus	NOUN	#vakuutus
#varusmiestenkuntotesti	X	#varusmiestenkuntotesti
#vastuu	NOUN	#vastuu
#viestikoelaitos	NOUN	#viesti#koe#laitos
#vpk	PROPN	#vpk
#who	PROPN	#WHO
#yrityskulttuuri	NOUN	#yritys#kulttuuri
%:	NOUN	%
%:een	NOUN	%
%:iin	NOUN	%
%:lla	NOUN	%
%:lla	SYM	%
%:n	NOUN	%
%:n	SYM	%
%:sta	NOUN	%
-levy-yhtiölle	NOUN	levy#yhtiö
-levy-yhtiön	NOUN	levy#yhtiö
-levyllään	NOUN	levy
-liite	NOUN	liite
-liittouman	NOUN	liittouma
-linementtiä	NOUN	linementti
-lisenssillä	NOUN	lisenssi
-listalla	NOUN	lista
-lisä	NOUN	lisä
-lisäosaa	NOUN	lisä#osa
-litrainen	ADJ	litrainen
-litran	NOUN	litra
-luokan	NOUN	luokka
-luonteista	ADJ	luonteinen
-lähestymistavan	NOUN	lähestymis#tapa
-lääkenimellä	NOUN	lääke#nimi
-malleista	NOUN	malli
-malli	NOUN	malli
-maskilla	NOUN	maski
-mentaliteetilla	NOUN	mentaliteetti
-merkkistä	ADJ	merkkinen
-mestari	NOUN	mestari
-mitali	NOUN	mitali
-moottori	NOUN	moottori
-mukavuutta	NOUN	mukavuus
-musiikkiin	NOUN	musiikki
-musikaaliin	NOUN	musikaali
-musikaalinäytelmän	NOUN	musikaali#näytelmä
-n-pääte	NOUN	-n#pääte
-nauhakin	NOUN	nauha
-nimellä	NOUN	nimi
-nimen	NOUN	nimi
-niminen	ADJ	niminen
-nimisen	ADJ	niminen
-nimitykseen	NOUN	nimitys
-näppäimesta	NOUN	näppäin
-näppäimestä	NOUN	näppäin
-näytelmässä	NOUN	näytelmä
-odotuksista	NOUN	odotus
-ohjelmaa	NOUN	ohjelma
-ohjelman	NOUN	ohjelma
-ohjelmissa	NOUN	ohjelma
-oikeudenkäynti	NOUN	oikeuden#käynti
-oluen	NOUN	olut
-ominaisuuden	NOUN	ominaisuus
-opastuskierros	NOUN	opastus#kierros
-oppaan	NOUN	opas
-organisaation	NOUN	organisaatio
-osastolle	NOUN	osasto
-osto	NOUN	osto
-palkinnolla	NOUN	palkinto
-palkinnon	NOUN	palkinto
-palkinto	NOUN	palkinto
-palkintotilaisuudessa	NOUN	palkinto#tilaisuus
-parametria	NOUN	parametri
-parikilpailut	NOUN	pari#kilpailu
-patsaasta	NOUN	patsas
-patsaskävely	NOUN	patsas#kävely
-peleissä	NOUN	peli
-pelien	NOUN	peli
-pelin	NOUN	peli
-pelisarjan	NOUN	peli#sarja
-pelisarjasta	NOUN	peli#sarja
-periaatteen	NOUN	periaate
-pistooli	NOUN	pistooli
-pohjalevyyn	NOUN	pohja#levy
-polkupyörälläni	NOUN	polku#pyörä
-popmusiikkiduo	NOUN	pop#musiikki#duo
-populaation	NOUN	populaatio
-poretbl	NOUN	pore#tbl
-projektirahaa	NOUN	projekti#raha
-puhelimista	NOUN	puhelin
-puisto	NOUN	puisto
-puolueen	NOUN	puolue
-puutarha	NOUN	puu#tarha
-päivä	NOUN	päivä
-radiossa	NOUN	radio
-ravintola	NOUN	ravintola
-rekrytointitapahtuma	NOUN	rekrytointi#tapahtuma
-romaania	NOUN	romaani
-ruoka	NOUN	ruoka
-ryhmän	NOUN	ryhmä
-rynnäkkötykin	NOUN	rynnäkkö#tykki
-saarella	NOUN	saari
-sarja	NOUN	sarja
-sarjan	NOUN	sarja
-sarjassa	NOUN	sarja
-sarjoissa	NOUN	sarja
-seminaarin	NOUN	seminaari
-seurantapalvelin	NOUN	seuranta#palvelin
-sijoituspäällikkö	NOUN	sijoitus#päällikkö
-sisältöiseen	ADJ	sisältöinen
-sooloalbumin	NOUN	soolo#albumi
-sopimuksen	NOUN	sopimus
-sopimuksilla	NOUN	sopimus
-sossupummit	NOUN	-#sossu#pummi
-sotaharjoitukseen	NOUN	sota#harjoitus
-standardin	NOUN	standardi
-stenttiä	NOUN	stentti
-stipendi	NOUN	stipendi
-symposium	NOUN	symposium
-symposiumin	NOUN	symposiumi
-säveltäjä	NOUN	säveltäjä
-säätiön	NOUN	säätiö
-taktiikkaan	NOUN	taktiikka
-tallilla	NOUN	talli
-tapahtuma	NOUN	tapahtuma
-tapahtumaa	NOUN	tapahtuma
-tapahtuman	NOUN	tapahtuma
-tapahtumassa	NOUN	tapahtuma
-tarrat	NOUN	tarra
-taudista	NOUN	tauti
-tavaramerkin	NOUN	tavara#merkki
-tavat	NOUN	tapa
-teemailtapäivän	NOUN	teema#ilta#päivä
-tekniikalla	NOUN	tekniikka
-teoksessa	NOUN	teos
-tiellä	NOUN	tie
-tietokonepeliä	NOUN	tieto#kone#peli
-tilaisuuden	NOUN	tilaisuus
-tileille	NOUN	tili
-toiminnot	NOUN	toiminto
-torilla	NOUN	tori
-tuoksu	NOUN	tuoksu
-tuotantoa	NOUN	tuotanto
-tuotantoyhtiön	NOUN	tuotanto#yhtiö
-tuottajat	NOUN	tuottaja
-tuotteita	NOUN	tuote
-turnauksessa	NOUN	turnaus
-turnaussarjassa	NOUN	turnaus#sarja
-tutkielman	NOUN	tutkielma
-tutkielmiensa	NOUN	tutkielma
-tutkimuksesta	NOUN	tutkimus
-tutkimus	NOUN	tutkimus
-tutkimusta	NOUN	tutkimus
-tuulet	NOUN	tuuli
-tv-ohjelmassa	NOUN	tv#ohjelma
-tyyppi	NOUN	tyyppi
-tyyppinen	ADJ	tyyppinen
-tyyppisiä	ADJ	tyyppinen
-unioni	NOUN	unioni
-universumissa	NOUN	universumi
-uutistoimistolle	NOUN	uutis#toimisto
-uutistoimiston	NOUN	uutis#toimisto
-vaiheen	NOUN	vaihe
-vaiheeseen	NOUN	vaihe
-valtakunnan	NOUN	valtakunta
-valtion	NOUN	valtio
-varjoja	NOUN	varja
-vedosta	NOUN	veto
-vekkulia	NOUN	vekkuli
-velat	NOUN	velka
-veljen	NOUN	veli
-velkakirjoihin	NOUN	velka#kirja
-veneistä	NOUN	vene
-verkkosivuston	NOUN	verkko#sivusto
-versionsa	NOUN	versio
-viikon	NOUN	viikko
-voimalaitoksen	NOUN	voima#laitos
-vuotiaat	ADJ	vuotias
-vuotiaista	NOUN	vuotias
-väri	NOUN	väri
-yhdistys	NOUN	yhdistys
-yhtiölle	NOUN	yhtiö
-yhtiön	NOUN	yhtiö
-yhtye	NOUN	yhtye
-yhtyeen	NOUN	yhtye
-yhtyeensä	NOUN	yhtye
-yhtymässä	NOUN	yhtymä
-yksikössä	NOUN	yksikkö
-yliopiston	NOUN	yli#opisto
-yliopistossa	NOUN	yli#opisto
-yrityksen	NOUN	yritys
-äänestäjät	NOUN	äänestäjä
.#digi	PROPN	.#digi
1,5-sivuisen	ADJ	1,5#sivuinen
1-divisioonaa	NOUN	1#divisioona
1-sarja	NOUN	1#sarja
1-vuotiaana	ADJ	1#vuotias
1.0-litraista	ADJ	1.0#litrainen
1.2-litraiset	ADJ	1.2#litrainen
1.2-litraista	ADJ	1.2#litrainen
1.3-litrainen	ADJ	1.3#litrainen
10-kertaisesti	ADV	10#kertaisesti
10-luokkaa	NOUN	10#luokka
100-prosenttisesti	ADV	100#prosenttisesti
100-vuotias	ADJ	100#vuotias
100-vuotisjuhlassa	NOUN	100#vuotis#juhla
100.n	NUM	100
1000-luvulle	NOUN	1000#luku
1000-luvulta	NOUN	1000#luku
100:n	NUM	100
101:sta	NUM	101
102-vuotisen	ADJ	102#vuotinen
1050-luvulla	NOUN	1050#luku
11-kertainen	ADJ	11#kertainen
11.krenatöörirykmentin	NOUN	krenatööri#rykmentti
12-osainen	ADJ	12#osainen
12-senttisissä	ADJ	12#senttinen
12-sivuinen	ADJ	12#sivuinen
12-tuntisiksi	ADJ	12#tuntinen
1200-luvulla	NOUN	1200#luku
1200-luvulta	NOUN	1200#luku
13-vuotias	ADJ	13#vuotias
1300-luvulta	NOUN	1300#luku
1300–1700-luvulla	NOUN	1300#1700#luku
1330:een	NUM	1330
135/02	X	_
1350-luvulla	NOUN	1350#luku
13:n	NUM	13
14-karaatin	NOUN	14#karaatti
1400-luvulla	NOUN	1400#luku
1400-luvulta	NOUN	1400#luku
14:sta	NUM	14
15-74-vuotiaan	ADJ	15#74#vuotias
15-vuotias	ADJ	15#vuotias
1500-luvulta	NOUN	1500#luku
1500-luvun	NOUN	1500#luku
1550-luvulla	NOUN	1550#luku
15–24-vuotiaista	ADJ	15–24#vuotias
16-vuotiaan	ADJ	16#vuotias
16-vuotias	ADJ	16#vuotias
16-vuotiasta	ADJ	16#vuotias
1600-lukua	NOUN	1600#luku
1600-luvulla	NOUN	1600#luku
1600-luvulta	NOUN	1600#luku
165-paikkainen	ADJ	165#paikkainen
1650-luvulla	NOUN	1650#luku
17-vuotiaana	ADJ	17#vuotias
17-vuotiaana	NOUN	17#vuotias
17-vuotias	ADJ	17#vuotias
1700-luvulta	NOUN	1700#luku
1700-luvun	NOUN	1700#luku
18-vuotiaan	ADJ	18#vuotias
18-vuotiaana	ADJ	18#vuotias
18-vuotiaiden	ADJ	18#vuotias
18-vuotiaille	NOUN	18#vuotias
18-vuotias	ADJ	18#vuotias
1800-lukua	NOUN	1800#luku
1800-luvulla	NOUN	1800#luku
1800-luvulle	NOUN	1800#luku
1800-luvun	NOUN	1800#luku
180:n	NUM	180
1810-luvulla	NOUN	1810#luku
1840-luvulla	NOUN	1840#luku
1860-luvulle	NOUN	1860#luku
19-vuotiaan	ADJ	19#vuotias
19-vuotias	ADJ	19#vuotias
1900-luvulla	NOUN	1900#luku
1900-luvun	NOUN	1900#luku
1910-luvun	NOUN	1910#luku
1920-luvulta	NOUN	1920#luku
1920-luvun	NOUN	1920#luku
1930-lukua	NOUN	1930#luku
1930-luvulta	NOUN	1930#luku
1940-luvulle	NOUN	1940#luku
1940-luvulta	NOUN	1940#luku
1950-luvulla	NOUN	1950#luku
1950-luvulle	NOUN	1950#luku
1950-luvulta	NOUN	1950#luku
1960-luvulla	NOUN	1960#luku
1960-luvulta	NOUN	1960#luku
1960-luvun	NOUN	1960#luku
1970-luvulla	NOUN	1970#luku
1970-luvullakin	NOUN	1970#luku
1970-luvulta	NOUN	1970#luku
1970-luvun	NOUN	1970#luku
1980-luvuilla	NOUN	1980#luku
1980-luvulla	NOUN	1980#luku
1980-luvulta	NOUN	1980#luku
1980-luvun	NOUN	1980#luku
1990-luvuilla	NOUN	1990#luku
1990-luvulla	NOUN	1990#luku
1990-luvun	NOUN	1990#luku
1:sen	PROPN	1
1:ssä	NUM	1
2,5-kertaisen	ADJ	2,5#kertainen
2-kertainen	ADJ	2#kertainen
2-luumen	NOUN	2#lumen
2.0:n	NUM	2.0
20-vuotiaan	ADJ	20#vuotias
20-vuotiaana	NOUN	20#vuotias
20-vuotias	NOUN	20#vuotias
200-luku	NOUN	200#luku
2000-lukujen	NOUN	2000#luku
2000-luvulla	NOUN	2000#luku
2000-luvulle	NOUN	2000#luku
2000-luvun	NOUN	2000#luku
2020-luvuilla	NOUN	2020#luku
20:n	NUM	20
21-vuotiaana	ADJ	21#vuotias
21-vuotiaana	NOUN	21#vuotias
21-vuotiaat	ADJ	21#vuotias
22:ta	NUM	22
23-vuotiaasta	NOUN	23#vuotias
25-vuotiaan	ADJ	25#vuotias
25:ttä	ADJ	25
26-vuotias	ADJ	26#vuotias
28-vuotias	ADJ	28#vuotias
2:n	NUM	2
2:sen	PROPN	2
3-vuotiaana	ADJ	3#vuotias
30-65-vuotiaita	NOUN	30#65#vuotias
30-vuotiaana	ADJ	30#vuotias
30-vuotisjuhlaseminaarissa	NOUN	30#vuotis#juhla#seminaari
300c:n	PROPN	300C
300–800-luvuilla	NOUN	300#800#luku
30:n	NUM	30
30:ssä	NUM	30
30–39-vuotiailla	NOUN	30#39#vuotias
31-vuotias	ADJ	31#vuotias
31:stä	NUM	31
32:sta	NUM	32
33-vuotias	ADJ	33#vuotias
3300-luvulla	NOUN	3300#luku
35-vuotiailla	ADJ	35#vuotias
37:ssä	NUM	37
3:n	NUM	3
3:ssakin	NUM	3
3d-tulostimiin	NOUN	3D#tulostin
3g:n	NOUN	3G
3ssa	NUM	3
4-vuotiaille	ADJ	4#vuotias
40-luvun	NOUN	40#luku
40-sivuinen	ADJ	40#sivuinen
400-luvulta	NOUN	400#luku
4004:n	NUM	4004
40–49-vuotiailla	ADJ	40#49#vuotias
40–49-vuotiailla	NOUN	40#49#vuotias
40–74-vuotiailla	ADJ	40#74#vuotias
42:een	NUM	42
44-vuotiasta	ADJ	44#vuotias
44:ään	NUM	44
45-vuotiaana	NOUN	45#vuotias
45-vuotias	ADJ	45#vuotias
4:stä	NUM	4
4cast-konsulttiyhtiön	NOUN	4Cast#konsultti#yhtiö
5-henkinen	ADJ	5#henkinen
5-sivuisen	NOUN	5#sivuinen
50,4:ään	NUM	50,4
50-vuotiaita	ADJ	50#vuotias
50-vuotisjuhliaan	NOUN	50#vuotis#juhla
500-luvulla	NOUN	500#luku
50:een	NUM	50
50:n	NUM	50
50:tä	NUM	50
50–59-vuotiaille	ADJ	50#59#vuotias
50–59-vuotiaita	NOUN	50#59#vuotias
50–64-vuotiaat	ADJ	50#64#vuotias
50–69-vuotiailla	ADJ	50#69#vuotias
52-vuotias	ADJ	52#vuotias
53-vuotiaan	NOUN	53#vuotias
54-vuotias	ADJ	54#vuotias
55-vuotiaita	ADJ	55#vuotias
581:ltä	NUM	581
5wpr:stä	PROPN	5WPR
6 000:	NUM	6 000
60-luvulla	NOUN	60#luku
60-luvun	NOUN	60#luku
60-vuotiaisiin	NOUN	60#vuotias
60-vuotias	ADJ	60#vuotias
60-vuotispäivää	NOUN	60#vuotis#päivä
60:n	NUM	60
65:nteen	ADJ	65
69-vuotiaan	ADJ	69#vuotias
6:een	NUM	6
7-vuotiaana	NOUN	7#vuotias
70-luvulta	NOUN	70#luku
70-luvun	NOUN	70#luku
70-vuotias	ADJ	70#vuotias
700-luvulla	NOUN	700#luku
700-luvulta	NOUN	700#luku
700-luvun	NOUN	700#luku
7:ään	NUM	7
7−10-vuotiaille	ADJ	7−10#vuotias
8	PUNCT	(
80-prosenttisesti	ADV	80#prosenttisesti
800-luvulla	NOUN	800#luku
800-luvun	NOUN	800#luku
84-vuotias	ADJ	84#vuotias
85-vuotias	ADJ	85#vuotias
87-vuotias	ADJ	87#vuotias
90-luvun	NOUN	90#luku
900 000:een	NUM	900 000
90:n	NUM	90
955:ltä	NUM	955
96-tilavuusprosenttista	ADJ	96#tilavuus#prosenttinen
98,5-prosenttisesti	ADV	98,5#prosenttisesti
@antroblogi'ssa	PROPN	@antroblogi
@hsfi:n	PROPN	@hsfi
@lahi_tapiola'n	PROPN	@Lahi_Tapiola
@youtube-soittolistaan	NOUN	@YouTube#soitto#lista
@youtube-videosta	NOUN	@YouTube#video
[sensuroitu]lla	NOUN	[sensuroitu]
a-ha	INTJ	A#ha
a-junioreissa	NOUN	A#juniori
a-maaottelussa	NOUN	A#maa#ottelu
a-osake	NOUN	A#osake
a-poikien	NOUN	A#poika
a1-valtatien	NOUN	A1#valta#tie
a:n	NOUN	A
a:ta	NOUN	A
aaa-kerho	NOUN	AAA#kerho
aaa-kerhoon	NOUN	AAA#kerho
aaa-luokituksen	NOUN	AAA#luokitus
aaa-luokitus	NOUN	AAA#luokitus
aaa:n	NOUN	AAA
aakkoset	NOUN	aakkonen
aakkosjärjestyksessä	NOUN	aakkos#järjestys
aakkoston	NOUN	aakkosto
aalesundin	PROPN	Aalesund
aallon	NOUN	aalto
aallon	PROPN	Aalto
aallot	NOUN	aalto
aaloissa	NOUN	aalto
aaltoliikkeen	NOUN	aalto#liike
aamiais-	NOUN	aamiainen
aamiaisella	NOUN	aamiainen
aamiaisen	NOUN	aamiainen
aamiaisesta	NOUN	aamiainen
aamiaiset	NOUN	aamiainen
aamu-	NOUN	aamu
aamu-tv:ssä	NOUN	Aamu-tv
aamu-tv:ssä	PROPN	Aamu-Tv
aamu-unisille	ADJ	aamu#uninen
aamua	NOUN	aamu
aamuaan	NOUN	aamu
aamubussissa	NOUN	aamu#bussi
aamuisen	ADJ	aamuinen
aamuista	ADJ	aamuinen
aamukaljalla	NOUN	aamu#kalja
aamukasiin	NOUN	aamu#kasi
aamukasteen	NOUN	aamu#kaste
aamuksi	NOUN	aamu
aamulehden	PROPN	Aamulehti
aamulla	NOUN	aamu
aamun	NOUN	aamu
aamuna	NOUN	aamu
aamunaamasi	NOUN	aamu#naama
aamupalaa	NOUN	aamu#pala
aamupalaamme	NOUN	aamu#pala
